DIRECTORIO;P6040;P404;P3503;P3271;P400;FEX_C
7981882;11;2;2;1;3;32.136.472.025
7981887;6;2;2;2;3;57.500.998.509
7981897;5;2;2;2;3;37.597.397.277
7981899;6;2;2;1;3;37.663.476.206
7981900;11;2;2;2;3;36.889.843.096
7981904;10;2;2;1;3;55.481.484.907
7981904;6;2;2;1;3;55.481.484.907
7981904;6;2;2;1;3;55.481.484.907
7981908;15;2;2;1;3;26.368.354.838
7981908;10;2;2;2;3;26.368.354.838
7981913;10;2;2;2;3;37.549.170.528
7981917;8;2;2;1;3;31.483.006.737
7981918;12;2;2;2;3;25.814.161.234
7981919;11;2;2;1;3;28.022.670.929
7981927;5;2;2;1;3;23.169.376.832
7981930;16;2;2;1;3;25.697.805.032
7981934;14;2;2;1;3;21.122.511.704
7981945;8;2;2;2;3;4.864.788.393
7981945;6;2;2;2;3;4.864.788.393
7981949;16;2;2;2;3;34.008.984.079
7981962;14;2;2;2;3;17.283.162.782
7981962;7;2;2;1;3;17.283.162.782
7981965;10;2;2;2;3;13.443.152.088
7981966;14;2;2;1;3;19.563.705.314
7981966;8;2;2;1;3;19.563.705.314
7981967;17;2;2;2;3;13.980.241.513
7981967;12;2;2;1;3;13.980.241.513
7981967;8;2;2;1;3;13.980.241.513
7981969;12;2;2;2;3;18.173.169.509
7981974;11;2;2;2;3;17.283.162.782
7981974;7;2;2;1;3;17.283.162.782
7981975;16;2;2;1;3;34.692.343.425
7981975;16;2;2;2;3;34.692.343.425
7981975;11;2;2;2;3;34.692.343.425
7981977;9;2;2;1;3;17.294.528.261
7981977;7;2;2;2;3;17.294.528.261
7981978;9;2;2;2;3;15.320.244.701
7981979;15;2;2;2;3;28.811.824.143
7981979;11;2;2;1;3;28.811.824.143
7981981;13;2;2;2;3;27.776.511.614
7981982;7;2;2;1;3;43.677.992.352
7981983;14;2;2;1;3;2.098.776.879
7981983;6;2;2;1;3;2.098.776.879
7981984;7;2;2;2;3;29.206.879.568
7981986;5;2;2;2;3;29.652.043.538
7981987;16;2;2;2;3;20.415.770.295
7981990;14;2;2;2;3;24.951.812.575
7981990;11;2;2;2;3;24.951.812.575
7981990;6;2;2;2;3;24.951.812.575
7981993;15;2;2;1;3;45.694.047.558
7981993;12;2;2;1;3;45.694.047.558
7982002;12;2;2;1;3;13.949.062.862
7982004;5;2;2;1;3;31.435.186.645
7982004;9;2;2;1;3;31.435.186.645
7982005;7;2;2;1;6;47.482.207.073
7982006;6;2;2;2;3;3.439.786.843
7982007;7;2;2;1;3;22.663.357.229
7982010;13;2;2;1;3;22.663.357.229
7982010;11;2;2;1;3;22.663.357.229
7982011;11;2;2;1;3;18.364.297.691
7982016;12;2;2;2;3;25.945.538.096
7982016;10;2;2;2;3;25.945.538.096
7982018;11;2;2;2;3;49.273.512.767
7982022;15;2;2;1;3;2.913.240.282
7982023;17;2;2;2;3;30.674.645.153
7982023;15;2;2;2;4;30.674.645.153
7982023;12;2;2;2;3;30.674.645.153
7982023;10;2;2;2;6;30.674.645.153
7982023;8;2;2;1;3;30.674.645.153
7982023;5;2;2;1;6;30.674.645.153
7982024;5;2;2;1;3;63.385.301.467
7982025;16;2;2;2;3;31.978.632.695
7982025;14;2;2;1;4;31.978.632.695
7982025;13;2;2;1;3;31.978.632.695
7982025;11;2;2;1;3;31.978.632.695
7982025;6;2;2;2;3;31.978.632.695
7982025;5;2;2;2;3;31.978.632.695
7982026;11;2;2;2;3;36.077.464.263
7982028;13;2;2;1;3;3.705.777.866
7982028;12;2;2;1;3;3.705.777.866
7982028;10;2;2;1;3;3.705.777.866
7982028;9;2;2;1;3;3.705.777.866
7982029;16;2;2;2;3;33.415.388.504
7982029;13;2;2;2;3;33.415.388.504
7982029;9;2;2;1;3;33.415.388.504
7982029;5;2;2;1;3;33.415.388.504
7982034;7;2;2;2;3;4.020.072.962
7982034;5;2;2;2;3;4.020.072.962
7982036;17;2;2;1;3;62.209.828.371
7982040;16;2;2;1;4;68.541.071.337
7982040;10;2;2;2;3;68.541.071.337
7982040;7;2;2;1;3;68.541.071.337
7982041;11;2;2;1;3;70.487.877.237
7982044;17;2;2;2;3;53.306.955.458
7982044;11;2;2;2;3;53.306.955.458
7982048;17;2;2;2;4;32.702.560.351
7982050;8;2;2;1;3;7.130.846.415
7982051;10;2;2;1;3;41.492.005.676
7982052;15;2;2;2;3;44.470.540.696
7982052;13;2;2;1;3;44.470.540.696
7982052;9;2;2;1;3;44.470.540.696
7982063;9;2;2;2;3;11.609.029.781
7982064;9;2;2;2;3;9.953.890.979
7982065;15;2;2;2;3;13.653.360.862
7982066;11;2;2;1;3;13.575.892.919
7982075;15;2;2;2;3;91.181.205.529
7982075;6;2;2;1;3;91.181.205.529
7982079;8;2;2;1;3;12.186.928.907
7982089;14;2;2;1;3;11.157.672.171
7982094;9;2;2;2;3;12.159.880.806
7982098;7;2;2;2;3;18.095.060.723
7982104;8;2;2;1;3;14.790.940.098
7982106;10;2;2;2;3;12.159.880.806
