DIRECTORIO;P6040;P404;P3503;P3271;P400;FEX_C
8024001;9;2.0;2;2;3;16866733893
7994655;13;2.0;2;1;3;5407349685
8025331;10;2.0;2;2;3;78768972937
8083208;7;2.0;2;2;3;18442490593
7987833;15;2.0;2;1;3;65110736458
8035335;10;2.0;2;1;3;76654421146
8053095;15;2.0;2;1;3;10129186776
8018551;17;2.0;2;2;3;95530365614
8001938;17;2.0;2;2;3;13797116996
7995088;13;2.0;2;2;3;11851719137
7998639;17;2.0;2;2;3;33807267706
8011014;8;2.0;2;1;3;22254488355
8082790;6;2.0;2;1;3;11837736612
8035549;16;;2;1;3;36569276739
7981969;12;2.0;2;2;3;18173169509
8032848;17;2.0;2;2;4;77401978916
8084659;17;2.0;2;2;3;48293838797
8080334;6;2.0;2;2;3;24929139384
8022227;10;2.0;2;2;3;58112571802
7996987;16;2.0;2;2;3;20962026672
8034518;8;2.0;2;2;3;17961744178
7995114;16;2.0;2;1;6;13957126776
7996895;14;2.0;2;2;3;28671744084
8050554;16;2.0;2;2;3;20550829044
7984412;13;2.0;2;2;3;10427268887
8004352;7;2.0;2;1;3;56373134035
8035741;6;2.0;2;2;3;16545106983
8037256;16;2.0;2;1;3;33497787177
8049133;15;2.0;2;2;3;3763132939
8036185;6;2.0;2;1;6;86079281679
8079821;7;2.0;2;2;3;32278453558
7985671;5;2.0;2;1;4;45606611525
8037058;9;2.0;2;1;3;7669112448
7999066;13;2.0;2;1;3;36313670341
8005873;7;1.0;2;1;3;44911432492
7989040;14;2.0;2;2;3;28826970539
8050026;15;2.0;2;1;3;60874563181
8022673;13;2.0;2;2;3;12498532328
8006853;17;2.0;2;1;6;8741671509
7991684;8;2.0;2;1;3;91595509878
8079841;7;2.0;2;2;6;31512247371
8028607;16;2.0;2;1;3;66004041724
8035670;5;2.0;2;1;6;30246574979
8080125;8;;2;1;5;86763888175
7992842;9;2.0;2;1;3;18727588443
8010244;6;2.0;2;2;3;3261201115
8047854;11;2.0;2;1;3;13893212867
8043670;9;2.0;2;1;6;73483745893
8005303;16;2.0;2;2;3;28059892436
8023205;6;2.0;2;2;3;70502812298
8048837;8;2.0;2;1;3;73234638877
8026114;5;2.0;2;1;6;18985050341
8029478;5;2.0;2;1;3;41285450743
8015784;12;2.0;2;1;3;13782851933
8032329;17;2.0;2;1;3;23953245783
7991165;8;2.0;2;2;3;57688550897
8079982;9;2.0;2;2;3;10056188939
7996555;5;2.0;2;1;3;86100480146
8049801;13;2.0;2;1;3;12472213273
8051762;6;2.0;2;1;3;91986959216
8034457;13;2.0;2;2;3;36554802413
8076250;17;2.0;2;2;4;43199603098
8036407;12;2.0;2;2;3;65417723398
8012531;12;2.0;2;1;3;26985097597
8020080;17;2.0;2;2;3;21800310187
8009553;14;2.0;2;1;3;2434988525
8039403;11;2.0;2;1;6;19287840071
8035619;17;2.0;2;1;6;14544461055
8037604;13;2.0;2;1;3;99113504342
8018575;8;2.0;2;2;3;3566732082
7995588;8;2.0;2;1;3;74683811365
8007685;11;2.0;2;2;3;56544212914
7985514;17;2.0;2;2;3;46492946945
7991091;16;2.0;2;2;4;2410311086
8043414;10;2.0;2;1;3;11610185523
8028263;15;2.0;2;1;3;68019597575
8037297;16;2.0;2;2;3;98213818118
8024481;17;2.0;2;1;3;19917634785
8048258;14;2.0;2;1;3;12838263919
8052283;14;2.0;2;1;3;14994274777
8039048;11;2.0;2;1;3;1363233715
7990306;17;2.0;2;2;3;55168577624
7988936;13;2.0;2;1;3;25396701757
8008643;13;2.0;2;1;3;92562838661
7995461;13;2.0;2;2;3;22242166736
7983437;6;2.0;2;2;3;10886097572
8084067;6;2.0;2;2;3;13473881832
8035480;16;2.0;2;1;3;89844756906
8006435;5;2.0;2;1;3;20305062513
7983640;12;2.0;2;2;3;12442178971
7986434;10;2.0;2;1;3;34490503958
7989511;10;2.0;2;2;3;69076483825
8033255;7;2.0;2;2;3;28779886969
8079037;8;2.0;2;2;3;37518664938
7986714;16;2.0;2;2;3;1311091695
8008919;11;2.0;2;1;3;18707286766
8045721;12;2.0;2;1;3;99066155861
7997282;15;2.0;2;2;3;8136483271
7999945;6;2.0;2;1;3;41831912011
8005471;5;2.0;2;2;6;12213300009
8005755;9;2.0;2;1;3;3611493133
8018262;17;2.0;2;1;3;28297530717
8026852;15;2.0;2;1;3;79341389548
8030677;11;2.0;2;1;3;78967981041
8047821;7;2.0;2;2;3;60584720413
8003215;10;2.0;2;2;3;49709336072
7982251;9;2.0;2;1;3;15219716863
7998294;6;2.0;2;1;3;1108955079
7994178;10;2.0;2;1;3;13064964167
8025118;9;2.0;2;1;3;5602384249
8004767;11;2.0;2;1;3;31162070123
8002039;11;2.0;2;2;3;16581319911
8001132;12;2.0;2;2;3;17143719799
8001106;17;2.0;2;1;4;75706773009
8052195;9;2.0;2;1;3;10565942541
8045266;5;2.0;2;1;3;81735869107
7983419;6;2.0;2;1;3;24504079923
8009178;10;2.0;2;2;3;34255909251
8075725;7;2.0;2;1;3;12338645669
7987762;11;2.0;2;2;3;12874127746
8000551;17;2.0;2;1;3;49860010484
8053675;11;2.0;2;1;3;55432467333
8001078;13;2.0;2;2;3;14609604389
8075824;16;2.0;2;2;6;18189605824
7992978;7;2.0;2;1;3;11864969552
8051378;11;2.0;2;1;3;49737830138
8033952;6;2.0;2;2;3;18769616791
7985073;6;2.0;2;2;3;83316634974
7983819;17;2.0;2;1;4;46861409548
8043509;14;2.0;2;2;3;18334166208
7984415;9;2.0;2;2;3;76599107876
8025339;14;2.0;2;2;3;12899334977
7997709;12;2.0;2;1;3;43032991757
8048936;17;2.0;2;2;4;10572845864
8083406;13;2.0;2;1;3;33637558107
8031826;16;2.0;2;1;4;15570745396
8001083;11;2.0;2;2;3;13866039737
8009241;5;2.0;2;2;3;44770969735
7987468;9;2.0;2;2;3;503773263
8001808;9;2.0;2;1;3;20765241984
8025513;9;2.0;2;1;3;27890154696
8055800;12;2.0;2;2;3;35784600772
7999083;6;2.0;2;1;3;10640981977
8001837;8;2.0;2;2;3;20700118656
8076116;10;2.0;2;1;6;51532871712
7984056;15;2.0;2;1;3;10201929149
8010370;9;2.0;2;2;3;78557547353
7982315;9;2.0;2;2;3;22829575294
8032798;13;2.0;2;2;3;98275915589
7984032;17;2.0;2;1;3;89642768115
8004360;12;2.0;2;2;3;1668095641
8082588;15;2.0;2;1;6;27701114676
8041434;15;2.0;2;1;3;14573583994
8031073;10;2.0;2;2;3;37037331142
8006970;17;2.0;2;2;3;15005978418
8033048;17;2.0;2;2;3;26084375924
8083306;17;2.0;2;2;3;14621191028
7998466;17;2.0;2;2;3;52743285938
8002523;16;2.0;2;1;3;90324165362
8028924;5;2.0;2;1;6;84274755544
8027740;11;2.0;2;2;3;48109862053
8007038;5;2.0;2;2;3;18522181869
8024198;8;2.0;2;1;3;19651988991
8012157;16;2.0;2;1;3;49876904993
8036409;16;2.0;2;2;3;76616691925
8005049;17;;2;1;1;3093574578
8034199;11;2.0;2;2;3;84049965966
7984081;6;2.0;2;1;3;10223298886
8047439;8;2.0;2;2;6;99301599432
7992318;5;2.0;2;1;6;1173148633
8038197;8;2.0;2;1;3;86971698157
8024574;14;2.0;2;2;3;87923239773
8023475;12;2.0;2;1;3;89545919814
8034103;13;2.0;2;1;3;33686032114
8046331;5;2.0;2;1;6;75033491858
7994085;14;2.0;2;2;3;10979363972
8013597;14;2.0;2;2;3;18571844135
8021612;5;2.0;2;2;6;64487709289
8018895;5;2.0;2;2;3;19049722283
8045770;5;2.0;2;2;3;16941680725
8005048;12;2.0;2;2;3;10134613635
8004016;7;2.0;2;1;3;17514761549
7988705;13;2.0;2;1;3;95314072029
8009667;5;2.0;2;2;3;21915905773
8075838;14;2.0;2;2;3;50797155959
7991406;8;2.0;2;2;3;95287865108
8008313;8;2.0;2;1;3;7028465136
8038065;9;2.0;2;1;3;12363306647
8055047;10;2.0;2;2;6;53052386059
8047320;15;2.0;2;1;3;57221416295
8015405;16;2.0;2;2;3;38643272333
8013129;15;;2;2;3;508411303
8053653;11;2.0;2;2;3;16923657804
8004290;9;2.0;2;2;3;35776345688
7986968;16;2.0;2;1;3;22943850597
8032747;9;2.0;2;2;4;55431242475
7989753;5;2.0;2;2;6;88436066374
7986310;15;2.0;2;1;3;36229100519
7992884;15;2.0;2;1;3;99998868671
8079008;10;2.0;2;1;3;33048022601
8045176;9;2.0;2;1;3;13924943836
8083994;14;2.0;2;2;6;18031034306
8042963;12;2.0;2;1;3;10179192678
8026252;12;2.0;2;2;3;3182277486
8053664;15;2.0;2;2;3;31801941628
8034199;14;2.0;2;1;3;84049965966
8046177;12;2.0;2;1;3;15652320722
8053864;6;2.0;2;1;6;96349756339
8052476;14;2.0;2;2;3;23736422182
8000692;14;2.0;2;2;3;10469010469
8038278;15;2.0;2;1;3;516235959
7986433;13;2.0;2;1;3;98332530442
8047192;11;2.0;2;2;3;3138269016
8007029;15;2.0;2;2;3;15275364703
8050770;7;2.0;2;2;3;61761423297
8019963;9;2.0;2;1;3;86453262794
7986664;5;2.0;2;1;3;63646427135
7990557;10;2.0;2;2;3;48788402416
8052416;15;2.0;2;1;3;42362759352
8054817;8;2.0;2;2;3;79348683335
8021275;17;2.0;2;2;3;88350442624
8075868;9;2.0;2;2;3;53335439632
8008034;17;2.0;2;1;3;19834578189
8032658;13;2.0;2;2;3;5866307223
8051065;7;2.0;2;2;6;59211881364
8077051;15;2.0;2;2;3;3351183669
8034090;13;2.0;2;2;3;14818740676
7994195;5;2.0;2;1;6;12414043467
8020215;12;2.0;2;2;3;62253465352
8078286;10;2.0;2;1;3;12496287809
8053694;9;2.0;2;2;3;59522406595
7986927;10;2.0;2;2;3;11777407838
7983768;5;2.0;2;1;6;26829649476
7992763;5;2.0;2;2;3;19178266651
8075991;12;2.0;2;2;3;46443615375
8039997;6;2.0;2;1;3;36610786163
8086516;17;2.0;2;1;3;88419763673
8047324;10;2.0;2;1;3;43786049467
8051639;10;2.0;2;1;3;14899536163
8055329;12;2.0;2;2;3;10615510203
7995903;10;2.0;2;1;3;22408256715
8014344;10;2.0;2;1;6;11484702936
8030867;17;2.0;2;2;6;50885730824
8030291;12;2.0;2;2;3;12431104753
8079879;16;2.0;2;1;3;24842243684
8040018;8;2.0;2;1;3;96248648249
8011007;14;2.0;2;2;3;17767354906
8028152;6;2.0;2;2;3;13580393578
8055681;17;2.0;2;2;6;1261660072
8021273;14;2.0;2;1;3;10177165434
8030296;5;2.0;2;1;6;24205769875
8022663;8;2.0;2;2;3;11000956532
8038279;12;2.0;2;2;3;46868894185
8040305;16;2.0;2;2;6;87956896659
8044120;8;2.0;2;1;3;22032104067
8033467;6;2.0;2;1;3;5700023319
8004358;10;2.0;2;2;3;2217856772
7990578;13;2.0;2;1;3;4607608628
8038776;9;2.0;2;2;3;50825394202
8002284;17;2.0;2;2;3;65413668812
8043706;14;2.0;2;1;6;51931390494
8044077;17;2.0;2;1;4;10763815391
8018474;17;2.0;2;2;3;32481215526
8047388;17;2.0;2;2;3;40826706194
8040678;7;2.0;2;1;6;2458306573
8049985;8;2.0;2;1;6;48937972813
7993016;9;2.0;2;1;3;46336997863
8086547;10;2.0;2;1;3;11987284367
8085733;13;2.0;2;1;6;34060697478
8006204;6;2.0;2;2;3;42396454957
7999599;5;2.0;2;2;3;50657239543
8017548;17;2.0;2;2;4;84568891482
8032726;7;2.0;2;1;3;671063625
7993070;16;2.0;2;2;3;10561239387
8045994;15;2.0;2;2;3;51055854681
7985129;14;2.0;2;2;3;55751543376
8011445;10;2.0;2;1;3;10001838946
7993870;5;2.0;2;2;3;34300489073
8045471;16;2.0;2;2;3;12574532805
8003657;8;2.0;2;1;6;36634995572
8047762;14;2.0;2;1;6;19641373041
8027606;11;2.0;2;2;3;12476979772
7990440;12;2.0;2;1;3;9182131063
8008633;9;2.0;2;2;3;10933675558
8023950;6;2.0;2;1;3;13845262767
8055310;5;2.0;2;2;3;10831917257
7987180;12;2.0;2;2;3;27314809138
7990115;6;2.0;2;2;3;11824932852
8029908;9;2.0;2;1;3;80141670598
8006137;13;2.0;2;1;3;11867521983
7993201;11;2.0;2;1;3;51261382717
8023278;9;2.0;2;2;3;92960955019
8034491;7;2.0;2;2;3;37497141023
8021135;9;2.0;2;1;3;53389369734
8083196;6;2.0;2;1;3;12236272192
8079284;11;2.0;2;1;3;15126390791
8020429;16;;2;1;1;6911069985
7995431;7;2.0;2;1;3;61729454805
8045158;7;2.0;2;2;6;10717226517
8004883;9;2.0;2;1;3;58298177566
8004660;16;2.0;2;2;3;57598172211
8086270;11;2.0;2;1;3;90859440336
8032249;12;2.0;2;2;3;20838201183
7998759;13;2.0;2;2;3;10826579776
7997656;13;2.0;2;1;3;13738271154
8032630;15;2.0;2;2;3;26096063574
8020565;17;2.0;2;1;3;13959871439
8046462;5;2.0;2;2;3;27292687526
7999423;17;2.0;2;1;3;41137282743
7986887;17;2.0;2;2;3;30025433337
8005717;17;2.0;2;1;3;37292209216
8076505;5;2.0;2;2;3;48175605361
8084264;7;2.0;2;2;3;55654101329
7986791;6;2.0;2;2;3;49537643985
8050987;9;2.0;2;1;3;42879463775
8022618;8;2.0;2;2;3;10820807197
8008193;13;2.0;2;2;3;24271024833
8056045;6;2.0;2;1;3;2623677127
8050051;11;2.0;2;2;3;69812818278
7997187;15;2.0;2;1;3;32035927679
8011964;5;2.0;2;1;6;70284414979
8009873;8;2.0;2;2;3;74796085247
8015713;13;2.0;2;1;3;11058408526
8006231;17;2.0;2;1;3;28673715323
8008032;7;2.0;2;2;3;30047161494
8020220;7;2.0;2;1;3;62949042525
8028239;13;2.0;2;1;3;2775029652
8005144;8;2.0;2;1;3;11267381553
8047493;10;2.0;2;1;3;1096308851
8028487;14;2.0;2;1;3;10172240104
8017224;16;2.0;2;1;3;12661566748
7999050;15;2.0;2;1;3;53718400379
8048070;16;;2;1;1;10798414467
7986992;17;;2;1;1;14646411214
